(427,191f)
120016
123624
0
(6b9,9cb) (53,d9) #8c1#7d3#711#9b4#565#9a0#6d9#
(95,24d) (fdf,191f) #1f6#179#249#179#7b#236#105#236#179#74#
(451,213d) (17c5,1c87) #19dd#15d7#628#14bf#20f6#539#15d7#14bf#f53#628#826#
(713,b71) (335,671) #5ab#95b#95b#8ae#165#38e#608#88d#473#
(22f,383) (335,671) #58#272#272#32a#22d#280#31#17c#31e#
(179,1ff) (169,2c9) #105#4c#87#134#a9#23#1c5#134#b2#
(6d,991) (53,d9) #321#11b#1d7#6a8#648#1d4#1c9#
(39b,bb1) (335,671) #837#8eb#8eb#af#346#b90#60e#245#1db#
(989,11f9) (1253,1a4b) #741#beb#72c#257#e34#f98#beb#95d#a90#915#a03#
(59b,1403) (53,d9) #13fa#1257#2ee#73f#d63#13e1#a1b#
(1169,1c03) (11c3,143f) #1024#832#832#26f#14da#1f#832#c9f#14da#369#b69#
(2b9,288b) (335,671) #af4#ce0#ce0#227f#1b55#1ea4#264b#22dc#4f5#
(10ab,2749) (335,671) #c2a#861#861#a3a#10eb#71d#1011#1583#2428#
(d1,22f) (17c5,1c87) #6c#106#26#2e#ee#4f#106#2e#1ba#26#48#
(179,1e5) (497,7f1) #49#cd#17c#71#11#71#df#61#12b#
(5cb,71b) (53,d9) #45b#709#315#5a8#6bc#24c#5d4#
(527,77f) (24d,2fb) #1e3#588#6b4#496#716#588#32e#3a3#450#
(1d3,4a5) (24d,2fb) #af#2b5#33#3a0#43a#2b5#3ff#32#439#
(7db,bab) (24d,2fb) #4e0#9b#387#a6c#2e2#9b#800#38e#ad5#
(1e59,2ad1) (53,d9) #536#a05#22d#1fe5#c02#1adf#17e7#
