(427,191f)
119953
113430
0
(4c3,56b) (169,2c9) #350#553#500#6e#2aa#404#3f0#6e#2dc#
(797,b5f) (17c5,1c87) #65c#22#a61#8cd#6d8#a7b#22#8cd#220#a61#4df#
(641,1691) (24d,2fb) #aa2#a20#116e#1560#c39#a20#7b1#e83#abe#
(6f3,105d) (fdf,191f) #ffd#9e9#87f#9e9#254#fe9#f63#fe9#9e9#1047#
(8bf,1c91) (335,671) #14a#c55#c55#1c30#2f2#1620#121b#68a#167b#
(281,2c9) (497,7f1) #253#1e5#1c7#260#5c#260#290#2ae#2a6#
(347,4d9) (335,671) #181#26a#26a#197#43b#275#1ee#8f#370#
(5b,bb) (53,d9) #2c#65#8f#25#a0#3d#a6#
(3f,109) (169,2c9) #43#3f#44#69#85#7f#ff#69#2c#
(11a5,1d45) (497,7f1) #a54#e59#cb2#17f5#c22#17f5#1696#1d34#3bb#
(4b1,575) (53,d9) #44c#183#32e#306#2d1#452#529#
(4a3,71b) (497,7f1) #425#1d4#579#3ca#4b4#3ca#5c6#204#6d3#
(3d5,4db) (497,7f1) #483#324#69#445#ca#445#362#61#39d#
(291,87d) (1253,1a4b) #1fd#f0#5c0#7a1#3eb#530#f0#280#6c4#60d#7f6#
(11,545) (497,7f1) #171#22b#450#52b#3cf#52b#3e#3f9#3f2#
(1e1,80b) (fdf,191f) #58#4f4#ae#4f4#53f#497#2ef#497#4f4#18e#
(4d3,5e9) (fdf,191f) #b1#54f#219#54f#33e#5b#557#5b#54f#590#
(2b9,e81) (17c5,1c87) #b21#883#dfb#e0f#5d1#d42#883#e0f#a62#dfb#bfb#
(149,9cb) (169,2c9) #810#90a#6ad#10#5c0#551#1fa#10#82#
(1c1,227) (d9,197) #197#1d#c0#3f#a#c0#14f#3c#
