(427,191f)
118576
122053
0
(41,85) (169,2c9) #41#d#1e#62#63#5b#60#62#34#
(b51,d67) (11c3,143f) #7dd#6db#6db#20e#b75#17#6db#8a9#b75#c7e#a64#
(b1,127) (169,2c9) #a3#e3#2a#5f#f7#b7#a#5f#e#
(1d4b,2731) (fdf,191f) #1f09#1656#219e#1656#7df#2708#24d2#2708#1656#26f4#
(5b1,2105) (1253,1a4b) #1e20#20c8#20e0#11fc#cf0#1865#20c8#d3#b31#159#6d4#
(10d,1403) (53,d9) #502#a61#13a1#864#4e#537#12ed#
(df,afd) (497,7f1) #798#457#480#78e#3c3#78e#993#369#375#
(1a33,2339) (335,671) #97c#147c#147c#1ea0#1f9c#225c#b7f#1c1d#a14#
(12f,457) (1253,1a4b) #40a#14e#15f#38d#b0#1a7#14e#2a8#64#375#3a8#
(be7,f77) (335,671) #8#2e8#2e8#ea4#a2f#1e#b5d#d8e#d84#
(9d,12b) (11c3,143f) #128#13#13#73#3c#5c#13#30#3c#c4#b#
(6d9,1747) (497,7f1) #c53#912#1465#1599#eac#1599#f71#1116#2a8#
(fd,173) (d9,197) #cf#100#69#8d#c3#69#b4#c9#
(33,55) (53,d9) #7#10#2c#30#3d#4b#40#
(26f,2e1) (d9,197) #84#1b5#1e#e1#2c4#1e#31#177#
(3b,ac7) (fdf,191f) #215#53a#702#53a#28a#2b2#1bf#2b2#53a#b2#
(e0b,1553) (1253,1a4b) #145f#ecf#2f2#98e#ddb#919#ecf#1e1#c90#e3d#82b#
(463,10d3) (335,671) #2d5#86d#86d#1f0#3f8#9c0#63f#3e6#ac4#
(bb,37d) (d9,197) #a4#30e#13d#d6#250#13d#1f6#f3#
(1cb,4c3) (53,d9) #3d5#329#2a0#228#468#1a7#3c4#
