(427,191f) (1087,191f)
(101,4b7) (161,4b7)
(189d,1ccd) (1195,1ccd)
(263,9cb) (23,9cb)
(449,589) (209,589)
(1bb,27b) (15b,27b)
(ebd,12d3) (5ed,12d3)
(8b,179) (133,179)
(6a9,887) (a9,887)
(935,171d) (19d,171d)
(8dd,991) (60d,991)
(31,5f) (19,5f)
(5f,eb) (1f,eb)
(43,5e9) (56b,5e9)
(6b,30b) (143,30b)
(761,8e7) (371,8e7)
(d6f,2105) (1a77,2105)
(197,30d) (2b,30d)
(27b,9cb) (713,9cb)
(25,bb) (d,bb)
(a3d,2039) (1b95,2039)
(201,601) (c1,601)
(cb,7f1) (2f,7f1)
(d9,197) (49,197)
(c7,1f15) (817,1f15)
(1c1,e63) (d91,e63)
(3dd,4ed) (275,4ed)
(b35,107f) (6fd,107f)
(fb,bb1) (533,bb1)
(f1,193) (79,193)
(5b1,fc1) (5b1,fc1)
(13f,1055) (43f,1055)
(2b,47b) (1ab,47b)
(775,e99) (bad,e99)
(e7,457) (29f,457)
(3a7,629) (fb,629)
(eb,719) (3f7,719)
(1943,1a6f) (183b,1a6f)
(a67,21b9) (857,21b9)
(1f5,385) (5d,385)
(14e1,1d93) (41,1d93)
(289,5bd) (439,5bd)
(271,863) (211,863)
(119b,1c91) (427,1c91)
(1f,41) (1f,41)
(32f,7e5) (1d3,7e5)
(1e5,485) (2ed,485)
(3fb,bbf) (473,bbf)
(37,77) (7,77)
(75,205) (ad,205)
(757,845) (67,845)
(49,12d3) (241,12d3)
(e9,6d7) (659,6d7)
(2ed,6d7) (485,6d7)
(41,ef3) (671,ef3)
(3b,5f) (b,5f)
(e9,1e5) (59,1e5)
(76f,1d45) (109f,1d45)
(103,66b) (103,66b)
(17b,1d5) (a3,1d5)
(d9,16d) (49,16d)
(19cf,2165) (133f,2165)
(2c5,e41) (60d,e41)
(43,daf) (3eb,daf)
(1115,23cf) (bbd,23cf)
(1b,37) (3,37)
(151,2ed) (181,2ed)
(26b,899) (4ff,899)
(31f,4db) (31f,4db)
(335,7a5) (28d,7a5)
(12ef,1b77) (b3f,1b77)
(c4d,df1) (7b5,df1)
(1313,2d77) (141b,2d77)
(25,91) (6d,91)
(977,e0f) (737,e0f)
(b9,1d5f) (bc9,1d5f)
(44f,fc1) (53f,fc1)
(1a3,323) (12b,323)
(3e5,47b) (d,47b)
(65f,733) (4df,733)
(9cb,a43) (48b,a43)
(21d,367) (145,367)
(95,899) (671,899)
(2f9,12fb) (4a9,12fb)
(65,85) (4d,85)
(299,403) (1c1,403)
(1,23) (1,23)
(3df,b41) (883,b41)
(395,42b) (37d,42b)
(251,385) (171,385)
(47,d9) (47,d9)
(1385,197f) (c65,197f)
(f3d,2c27) (10d5,2c27)
(90b,ddf) (a43,ddf)
(3d1,165b) (10f1,165b)
(d,41) (25,41)
(733,9e9) (23b,9e9)
(353,105d) (ef7,105d)
(157,203) (127,203)
(6c5,105b) (7b5,105b)
(24b,f61) (887,f61)
